"year","region_id","name","ons_code","road_category_id","total_link_length_km","total_link_length_miles","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","lgvs","all_hgvs","all_motor_vehicles"
2002,3,"Scotland","S92000003",1,386.49,240.15,1837.08392984968,9573012.60637875,2728130350.31665,27587228.5539947,359884794.021663,435033014.197089,3560208399.69578
2002,3,"Scotland","S92000003",3,2804.07,1742.37,4994765.84869363,42296807.2084029,4752760171.38039,57750513.7186332,637057029.634435,473603634.586515,5963468156.52837
2002,3,"Scotland","S92000003",4,7493.01,4655.94,22892760.1556908,57098026.8668476,6040231738.21135,126116639.605951,822222350.380031,342811210.406228,7388479965.4704
2002,3,"Scotland","S92000003",5,7336.6,4558.75,15149651.0379384,20914732.9595164,1819008863.23869,42334019.3271296,382841083.074843,86850915.6525889,2351949614.25276
2002,3,"Scotland","S92000003",6,41384.5,25715.14,112268725.642249,51570080.7285453,5243903105.86177,137426802.473554,798112771.414936,158055083.313449,6389067843.79225
2002,4,"Wales","W92000004",1,141.3,87.8,0,7287167.62854927,1485447785.55735,8606760.89139426,212785077.025173,191930976.534538,1906057767.637
2002,4,"Wales","W92000004",3,1546.6,961.01,1949350.17000716,26849163.0751412,2994037825.41209,26711799.0932952,424419667.765251,269687980.630617,3741706435.9764
2002,4,"Wales","W92000004",4,2628.29,1633.14,10041958.8975384,35895052.7979102,3830777028.46626,50540705.4675694,475577322.716585,170335000.316899,4563125109.76522
2002,4,"Wales","W92000004",5,2985.1,1854.86,7900243.19607306,13837818.4914717,1041933693.25109,22277229.2648738,208404486.504636,44640137.8269394,1331093365.33901
2002,4,"Wales","W92000004",6,25779.2,16018.45,63641357.9641829,60129730.769275,3803021260.66768,64933891.3618207,617689593.2305,102704385.53891,4648478861.56818
2002,5,"North West","E12000002",1,615.8,382.64,0,33018952.75342,7573483078.509,43796285.008053,1048346006.1988,1262412392.56492,9961056715.0342
2002,5,"North West","E12000002",2,24.1,14.98,0,964423.703074047,196452856.567645,1116810.9490575,25985778.9882089,14094221.3100493,238614091.518035
2002,5,"North West","E12000002",3,677.83,421.18,3705674.9830987,18975704.8524119,2026240401.61706,17567350.9516921,262011251.416726,214887068.457707,2539681777.29559
2002,5,"North West","E12000002",4,3322.88,2064.74,42923860.6537819,85016549.6935397,8143339949.94234,134931088.505627,948765603.966585,393822760.485018,9705875952.5931
2002,5,"North West","E12000002",5,1940.5,1205.77,26678820.4264663,27607648.8814032,1832721299.27136,39311369.2960753,260929115.820324,56016427.3640166,2216585860.63318
2002,5,"North West","E12000002",6,30117.4,18714.08,193310163.359683,101142913.329327,7651408115.23337,117970249.073243,1001349959.14512,175974441.613195,9047845678.39425
2002,6,"London","E12000007",1,60.1,37.34,0,12548689.4038813,1063519911.21848,9156185.06671041,149626766.5583,139736904.602124,1374588456.8495
2002,6,"London","E12000007",4,1723.02,1070.63,106776092.153076,274918369.503351,9109015843.44304,215759860.228764,1232925217.7906,406958107.899865,11239577398.8656
2002,6,"London","E12000007",5,514.1,319.45,19899563.807698,45552615.2097314,1114941557.62849,25190722.8360027,150187876.390241,26582420.162793,1362455192.22725
2002,6,"London","E12000007",6,12381.6,7693.57,174584100.836976,130924971.410414,5024142195.66249,75996215.0908643,672283452.460093,90520399.5072737,5993867234.13113
2002,7,"East of England","E12000006",1,265.3,164.85,521.641115883242,30498450.9216177,3789073467.82291,23592602.9487791,543791902.78772,650036499.343832,5036992923.82486
